date,pression de la boucle,vide bouilleur,niveau bouilleur,depression,temperature E,temperature S,debit 29%,debit 54%,pression calendre,ampérage AP04
05-Jan-23 21:00:00,2.158720255,108.3778763,92.27095795,,89.79559326,84.83681488,54.9474144,24.96860695,1.070037246,34.43021774
05-Jan-23 22:00:00,2.161810398,106.3471375,92.36708832,,89.63106537,84.67523193,55.02791214,24.64567375,1.064693093,34.43021774
05-Jan-23 23:00:00,2.16472888,105.412178,92.33194733,,89.45287323,84.42719269,55.06705856,24.7346344,1.028546691,34.43021774
06-Jan-23 00:00:00,2.155548334,105.2914886,92.49769592,,89.0796051,83.97436523,54.93027878,22.85149574,1.029906034,34.43021774
06-Jan-23 01:00:00,2.145432472,105.3663635,92.12246704,,89.23540497,84.22596741,54.98194504,21.7943058,1.062267661,34.43021774
06-Jan-23 02:00:00,2.186170101,105.860611,92.25253296,,89.06608582,83.99968719,55.06305695,22.4142189,1.009652376,34.43021774
06-Jan-23 03:00:00,2.180477381,104.8348007,92.2314682,,88.98826599,83.91970825,54.99394226,21.81779099,1.018532515,34.43021774
06-Jan-23 04:00:00,2.18697238,103.3994217,92.15601349,,88.98918152,84.00656891,54.97677231,22.30571365,1.044412732,34.43021774
06-Jan-23 05:00:00,2.19858861,105.1892242,92.30278778,,88.84703827,83.70838165,55.0237236,21.92776299,1.028332949,34.43021774
06-Jan-23 06:00:00,2.213298321,104.2591553,92.0022049,,89.02882385,83.68527222,55.04166031,21.67773628,1.001676202,34.43021774
06-Jan-23 07:00:00,2.211972475,105.4794083,92.11208344,,88.87063599,83.62683105,54.97101212,21.76915741,1.016064882,34.43021774
06-Jan-23 08:00:00,2.210221291,102.3017273,92.12496948,,88.82317352,83.51129913,54.96242905,21.79862022,1.016401529,34.43021774
06-Jan-23 09:00:00,2.225698471,105.5047913,92.17002869,,89.07754517,83.98229218,54.99557495,21.46451759,1.027283072,34.43021774
06-Jan-23 10:00:00,2.236961842,106.2499008,92.40120697,,89.12178802,83.89719391,54.92818451,21.61511803,1.015970707,34.43021774
06-Jan-23 11:00:00,2.249754906,105.1617508,92.22070313,,89.34968567,83.99777222,54.97225571,21.77312279,1.01690948,34.43021774
06-Jan-23 12:00:00,2.247625589,107.0565186,92.22600555,,89.308815,84.13599396,55.00247192,21.3380661,1.018757105,34.43021774
06-Jan-23 13:00:00,2.25803113,105.4119797,92.43791199,,89.37806702,84.1115036,55.08546066,21.94612885,1.026037097,34.43021774
06-Jan-23 14:00:00,2.255298615,106.2730789,92.38809204,,89.43258667,84.36907196,54.97808075,21.97362709,1.032168269,34.43021774
